example_id,customer_text,brand_response,intent,escalation,notes
1,"@115858 I’ve updated my watch and it has stopped counting steps, I thought the software was meant to fix not introduce faults. #badbuy",@625096 We want to help out. Have you tried restarting your Apple Watch and iPhone?,software_update,no,
2,"Charged my phone all night. Woke up with it at 100%. Fell asleep for an hour, woke up and it was at 1%. Lol. @115858",@327762 That's not the experience we want you to have.  Are you updated to iOS 11.0.3?,payments_billing,yes,
3,@AppleSupport Is the Space Grey 64GB iPhone X in stock in Montreal? (Ste-Catherine store),"@141070 While we're unable to check individual inventories, our Online Sales team will best be able to address your questions. Click here to get in touch:  https://t.co/8yjRd1Xo0i",repair_support,no,
4,@AppleSupport Its slowing down my mac a lot,"@117459  Is 25 GBs what you have left after the snapshots were created on the drive though? Or, were you low on space prior to snapshots?",device_performance,no,
5,"@AppleSupport I know it’s out of warranty. But it’s not supposed to inflate like this just sitting on my desk, right? ... https://t.co/g97g18x9UV","@766811 That's definitely not expected behavior, and we'd like to have your Mac computer physically inspected. To do so, meet us in a DM and tell us what country you're in. We'll continue there. https://t.co/GDrqU22YpT",other_unclear,no,
6,@AppleSupport Can I Get a home video I made in iMovie from my iPhone to my Moms iMac without using the cloud? Via iTunes maybe?,@357867 We're here for you. You can share your video from your iPhone to Apple devices nearby by using AirDrop. You can find instructions here: https://t.co/1sfjYKb68x,apps_features,no,
7,"@AppleSupport Hi, the new update has crashed my IPhone 7, I can slide the noificstions bar down but can't click any apps",@161520 Hi there. We understand how important it is that you're able to access your apps as you'd expect. Have you restarted yet?,other_unclear,no,
8,@AppleSupport anyway to check the battery health on my iphone 5?,@176777 We'd be happy to see how we can help. What's going on with your battery?,battery,no,
9,"Music app WatchOS 4 so annoying, keep crashing, take 3-5 secs to respond a click, reset itself to shuffle @115858 @AppleSupport #watchos4","@316424 Thanks for reaching out. When you have a free moment, can you please tell us how often does this issue occur in a typical day?",other_unclear,no,
10,@AppleSupport  Why the hell are you rolling out buggy updates my iPhone and MacBook both stopped working after updating iOS 11.1 and high Sierra,@789108 Thanks for reaching out! That’s not good to hear that you’re having issues after updating both devices. Let us know what kinds of issues you’re having and your exact software versions in DM. We’ll continue working with you there. https://t.co/GDrqU22YpT,software_update,no,
11,@AppleSupport Thats a 302 day old notifications. What’s that?,@193756 We'd be happy to look into this with you. DM us to get started. https://t.co/GDrqU22YpT,apps_features,no,
12,@116333 @116333 i was really excited too...until @115858 put a hold on my order and nobody knows why....,@234476 We'd like to point you to the right place. Send us a DM and let us know your country of residence and we'll go from there. https://t.co/GDrqU22YpT,orders_sales,yes,
13,@AppleSupport iPad is on 11.0.2 and iMac is 10.12.6. Same iCloud account on all devices,"@143491 Let's update your iPad to the latest version of iOS: https://t.co/80YRnjDFDk If the issue persists after updating, send us a DM and we will continue working with you. https://t.co/GDrqU22YpT",apple_id_account,yes,
14,So my phone is frozen to where I can't even restart it. I'm about done with this new update @115858 🙃,@565701 We’ve got your back. Can you start by confirming how you’ve tried to restart? Try the steps here: https://t.co/OWRDHWSt4h,device_performance,no,
15,Hey @AppleSupport can you please explain why the hecking heck all my “I’s” are autocorrecting to this nonsense https://t.co/TqWmoxyDhN,@519569 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,apps_features,no,
16,Damn son apple took 50$ out of my iTunes account and also my Apple music won’t work now 🤔🤔🤔 @AppleSupport @115948,@336272 We’d be glad to help get to the bottom of this. Please reach out to us here:  https://t.co/SDIe7UiyJN,apps_features,no,
17,All 3 @25142 lightning splitters I tried failed immediately. How can @AppleSupport sell defective products like this its stores? #rubbish https://t.co/yd9EpQWAno,@249080 We'd like help. Send us a DM with your current location.  We'll go from there. https://t.co/GDrqU22YpT,repair_support,no,
18,@AppleSupport My carrier settings are up to date,@432092 We are here for you. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,other_unclear,no,
19,@115858 WHAT IS THIS ?????? Fix it. Yesterday. https://t.co/z7iHE1y0eU,@591547 We'd like to help with the problem you're having with text. Please send us a DM with which version of iOS you're updated to. https://t.co/GDrqU22YpT,other_unclear,no,
20,@AppleSupport i’m having an issue on my account settings https://t.co/eTd4GBhVtU,@284334 We understand how important it is to get this issue resolved. Have you tried a normal restart of the device? This simple step can resolve issues like this. This article explains how to do a normal restart: https://t.co/OWRDHWSt4h,apple_id_account,yes,
21,@AppleSupport how do I turn shuffle off? I just want the tracks to play in album-order? https://t.co/uGIOkRVgUQ,@174253 Great question. We can offer some guidance. This article will show you how to turn Shuffle on/off: https://t.co/Q3ojzTGrTU,orders_sales,yes,
22,@AppleSupport apple tv remote not working on my control center...how can i fix,@171964  What kind of issues is it having? We'll help get it working. https://t.co/GDrqU22YpT,apps_features,no,
23,@AppleSupport  I found a device was in my icloud account .How could I know more information about this device.,@482938 That's a great question! Here's a great article to help out: https://t.co/OeslnVViCx,apple_id_account,yes,
24,@AppleSupport I don’t even have all these contacts on my computer. Can I save them to my iCloud?,@781297 We'd like to provide more steps in detail. Meet us in DM so we can continue. https://t.co/GDrqU22YpT,apple_id_account,yes,
25,@AppleSupport my Apple Music subscription begun like a week ago but it says I have to renew my membership please help,@520097 Thank you. We’re investigating &amp; will update our System Status page as more info becomes available: https://t.co/Fcu0biZf0L,apps_features,no,
26,I’ve updated everything and finally caved in to pay for more storage and I still see boxes 🤦🏾‍♀️ why @115858 ??? #AppleUpdate 😭😭,@481411 We think this might help with that: https://t.co/xU1AGHStV6,software_update,no,
27,My iPhone 6s Plus dies in a hour what’s good with that @AppleSupport,@503671 That's certainly not what we'd expect to happen. We want to be sure you get the most from your iPhone battery life. Let's meet up in DM so we can look into this together. https://t.co/GDrqU22YpT,other_unclear,no,
28,@116333 @AppleSupport Big problems trying to download High Sierra today onto my mini mac. Problem in install mkpg package? Gets stuck in a loop. Luckily I used the data disk to restart as it wouldn't do it after quitting installer through normal button.,@282757 We've got your DM and will continue there.,device_performance,no,
29,"@115858 , how do I make a complaint about your customer service?",@475284   You're in the right place. Meet us in DM and provide us with additional details about your experience. https://t.co/GDrqU22YpT,repair_support,no,
30,@AppleSupport Correct,@569878 Let's continue in DM together where we can look into this further. Let us know what iOS version is installed: https://t.co/GDrqU22YpT,other_unclear,no,
31,@115858 so I can’t use my touch button because I got my screen repaired at the mall..... alright I guess that’s cool looks like Android next,@555344 We'd like to help! Let's start by reviewing the steps outlined here: https://t.co/SFbo6jp7VJ Please DM us the results. https://t.co/GDrqU22YpT,repair_support,no,
32,@115858 hello I bought a ipad mini from a bootsale. When I got home it still has the old owners details and will not let me reset it. I have a receipt of purchase. Can I take it to an apple store for them to sort this out for me? Thanks,@325993 Let's take a look at it together. Please send us a DM with the current country you're in. https://t.co/GDrqU22YpT,orders_sales,yes,
33,@AppleSupport Oh and to top it off my phone won’t stop freezing now,@729358 We definitely want to get things working as expected for you. Is the iPhone not responding when using specific apps? Let's dig into this deeper over DM. Please message us there: https://t.co/GDrqU2kzhr,device_performance,no,
34,"Sometimes with #iOS11, you don’t get a dock. C’mon @AppleSupport. I’m losing faith. https://t.co/TbonlZzRYe",@603960 We'd be happy to work with you to get this resolved. Tell us which specific version of iOS 11 you have installed via DM. https://t.co/GDrqU22YpT,software_update,no,
