example_id,customer_text,gold_intent,predicted_intent,gold_escalation,predicted_escalation,reply,reason,status,evidence,format_ok,under_35_words,evidence_overlap,sensitive_public_safe
1,@342218 @346741 @115858 It is awful. Phone is hypersensitive. Constantly closing apps and shifting screens,other_unclear,device_performance,no,no,We're sorry to hear your phone is acting up. Could you tell us more about the hypersensitivity and if any specific apps are causing this?,Device is lagging and crashing.,success,,1,1,0,1
2,@115858 Shit almost made me miss my exam too. Had to stay up all night cause I was worried that battery would die and my alarm wouldn't go off.,battery,battery,no,no,We're sorry to hear about your battery concerns. Please send us a DM so we can help you resolve this and ensure your device is reliable.,Customer is complaining about battery drain.,success,,1,1,0,1
3,"@AppleSupport Please help me!! I’ve updated my phone and even restarted it, and nothing works. Please help me.",software_update,other_unclear,no,no,We would love to help you! Could you please provide more details about what is not working on your phone?,Insufficient information to determine specific issue.,success,,1,1,0,1
4,New iOS upgrade supposed to fix keyboard autocorrect problems. Worse than ever. Fix it #iPad @115858,apps_features,software_update,no,no,@115858 We're sorry to hear the update didn't resolve the keyboard issues. Please DM us your device model and current iOS version so we can investigate further.,Issue caused by iOS update.,success,,1,1,0,1
5,@AppleSupport how do I get to the Now Playing screen of watchOS without installing the Now Playing complication?,repair_support,apps_features,no,no,You can access the Now Playing screen by swiping right from the watch face to open the Control Center.,Asking how to access a feature.,success,,1,1,0,1
6,@AppleSupport Correct,other_unclear,other_unclear,no,no,Thank you for confirming. Could you please provide more details about the issue you're experiencing so I can best assist you?,Insufficient information to determine intent.,success,,1,1,0,1
7,".@AppleSupport phone 6 Plus now has to be recharged twice daily. This is BS, unacceptable. updates are CRAP. This 1yr old phone is worthless",payments_billing,battery,yes,no,@customer A long-lasting battery is important. Which version of iOS are you using? Check Settings > General > About. Let us know in DM.,Primary issue is battery drain.,success,,1,1,0,1
8,@AppleSupport It seems to just iCloud Photo Library.  I can air drop from iPad Pro 12.9 to phone and then sync works to other devices like iPad Pro 9.7,apple_id_account,photos_storage,yes,yes,I'm sorry to hear you're having trouble syncing your iCloud Photo Library. Let's get this resolved for you. Please DM us for further assistance.,Issue with iCloud Photo Library syncing.,success,,1,1,0,1
9,@AppleSupport My iCloud Photo Library keeps duplicating most (but not all) photos. Been occurring for a while now. All software up to date.,apple_id_account,photos_storage,yes,no,"@Customer Let's take a look. When did you first notice the duplicates appearing, and are there other devices using the same iCloud Photo Library?",Issue involves iCloud photo duplication.,success,,1,1,0,1
10,"@AppleSupport 6s, battery life, and charging functions, what are we doing about this?",battery,battery,no,no,We understand how important battery life and charging are. Please send us a DM so we can look into this for you.,Customer reporting battery and charging issues.,success,,1,1,0,1
